Radionuclide,Max_Energy_MeV,Emission_Type,Half_Life,Time_Unit,Medical_Purpose,Max_Energy_MeV
Ag-104,3.0978,gamma,69.2,m,Non-Medical,3.0978
Bi-197,3.08695,b-spectra,9.3,m,Non-Medical,3.08695
Eu-146,3.082,gamma,4.61,d,Non-Medical,3.082
Zn-60,3.075,b-spectra,2.38,m,Non-Medical,3.075
As-69,3.0585,gamma,15.23,m,Non-Medical,3.0585
Pm-141,3.0565,gamma,20.9,m,Non-Medical,3.0565
Fe-53m,3.0406,gamma,2.526,m,Non-Medical,3.0406
Tc-93,3.0258,gamma,2.75,h,Non-Medical,3.0258
Rb-79,3.0215,gamma,22.9,m,Non-Medical,3.0215
Bi-204,3.0114,gamma,11.22,h,Non-Medical,3.0114
Hf-167,3.008,b-spectra,2.05,m,Non-Medical,3.008
Sb-131,3.00775,b-spectra,23.03,m,Non-Medical,3.00775
Br-78,3.0059,gamma,6.46,m,Non-Medical,3.0059
In-107,3.005,gamma,32.4,m,Non-Medical,3.005
Ce-131,3.00178,b-spectra,10.2,m,Non-Medical,3.00178
Pr-144,2.9975,b-spectra,17.28,m,Non-Medical,2.9975
Ta-176,2.9954,gamma,8.09,h,Non-Medical,2.9954
Tb-148m,2.99221,b-spectra,2.2,m,Non-Medical,2.99221
I-124,2.9876,gamma,4.176,d,Medical - Imaging,2.9876
Pd-99,2.982,gamma,21.4,m,Non-Medical,2.982
As-76,2.962,b-spectra,1.0778,d,Non-Medical,2.962
Bi-200,2.95941,b-spectra,36.4,m,Non-Medical,2.95941
Tl-195,2.959,gamma,1.16,h,Non-Medical,2.959
Ar-44,2.9573,b-spectra,11.87,m,Non-Medical,2.9573
Au-202,2.95,b-spectra,28.8,s,Non-Medical,2.95
Bi-203,2.9454,gamma,11.76,h,Non-Medical,2.9454
Ac-230,2.94,b-spectra,122,s,Non-Medical,2.94
Ru-107,2.94,b-spectra,3.75,m,Non-Medical,2.94
Al-26,2.938,gamma,717000,y,Non-Medical,2.938
S-38,2.937,b-spectra,170.3,m,Non-Medical,2.937
Ir-186m,2.9202,gamma,1.92,h,Non-Medical,2.9202
Kr-88,2.913,b-spectra,2.84,h,Non-Medical,2.913
Sb-130,2.90885,b-spectra,39.5,m,Non-Medical,2.90885
Eu-147,2.90859,alpha,24.1,d,Non-Medical,2.90859
Sr-81,2.908,b-spectra,22.3,m,Non-Medical,2.908
Sb-133,2.90678,b-spectra,2.5,m,Non-Medical,2.90678
Sm-143,2.904,gamma,8.75,m,Non-Medical,2.904
Pa-236,2.8994,b-spectra,9.1,m,Non-Medical,2.8994
Y-93,2.893,b-spectra,10.18,h,Non-Medical,2.893
Ag-110,2.8922,b-spectra,24.6,s,Non-Medical,2.8922
Te-117,2.885,gamma,62,m,Non-Medical,2.885
Zr-87,2.883,gamma,1.68,h,Non-Medical,2.883
Dy-154,2.87041,alpha,3000000,y,Non-Medical,2.87041
Ce-133m,2.8634,gamma,4.9,h,Non-Medical,2.8634
Al-28,2.86289,b-spectra,2.2414,m,Non-Medical,2.86289
Tm-166,2.8614,gamma,7.7,h,Non-Medical,2.8614
Tb-165,2.85184,b-spectra,2.11,m,Non-Medical,2.85184
Tl-194m,2.8485,b-spectra,32.8,m,Non-Medical,2.8485
Gd-144,2.84,b-spectra,4.47,m,Non-Medical,2.84
I-134,2.84,gamma,52.5,m,Non-Medical,2.84
Nd-137,2.831,gamma,38.5,m,Non-Medical,2.831
Sc-42m,2.83079,b-spectra,62,s,Non-Medical,2.83079
Fr-224,2.83,b-spectra,3.33,m,Non-Medical,2.83
Te-133,2.8253,gamma,12.5,m,Non-Medical,2.8253
Ga-68,2.82173,gamma,67.71,m,Medical - Imaging,2.82173
Zn-71,2.819,b-spectra,2.45,m,Non-Medical,2.819
Lu-165,2.818,b-spectra,10.74,m,Non-Medical,2.818
Sb-124,2.808,gamma,60.2,d,Non-Medical,2.808
Re-190m,2.80211,b-spectra,3.2,h,Non-Medical,2.80211
V-47,2.7933,gamma,32.6,m,Non-Medical,2.7933
Lu-180,2.79145,b-spectra,5.7,m,Non-Medical,2.79145
Ta-173,2.7846,gamma,3.14,h,Non-Medical,2.7846
Ac-233,2.77,b-spectra,145,s,Non-Medical,2.77
I-130m,2.7626,gamma,8.84,m,Non-Medical,2.7626
Os-186,2.76127,alpha,2.00E+15,y,Non-Medical,2.76127
Bi-206,2.7596,gamma,6.243,d,Non-Medical,2.7596
I-132,2.7578,gamma,2.295,h,Non-Medical,2.7578
Pb-199,2.7519,gamma,90,m,Non-Medical,2.7519
Pb-195m,2.74522,b-spectra,15,m,Non-Medical,2.74522
Gd-150,2.73405,alpha,1790000,y,Non-Medical,2.73405
Sm-157,2.73,b-spectra,8.03,m,Non-Medical,2.73
Xe-138,2.72919,b-spectra,14.08,m,Non-Medical,2.72919
Cs-125,2.726,gamma,45,m,Non-Medical,2.726
Sn-127m,2.7144,b-spectra,4.13,m,Non-Medical,2.7144
Br-76m,2.71258,b-spectra,1.31,s,Non-Medical,2.71258
Sr-91,2.707,b-spectra,9.63,h,Non-Medical,2.707
Ag-106,2.7049,gamma,23.96,m,Non-Medical,2.7049
Np-242,2.7,b-spectra,2.2,m,Non-Medical,2.7
La-129,2.698,b-spectra,11.6,m,Non-Medical,2.698
Cu-69,2.6818,b-spectra,2.85,m,Non-Medical,2.6818
Tb-147,2.6814,gamma,1.64,h,Non-Medical,2.6814
Sb-118,2.6775,gamma,3.6,m,Non-Medical,2.6775
Mn-57,2.67659,b-spectra,85.4,s,Non-Medical,2.67659
In-119m,2.67537,b-spectra,18,m,Non-Medical,2.67537
In-108,2.6715,gamma,58,m,Non-Medical,2.6715
Rb-82m,2.67136,b-spectra,6.472,h,Non-Medical,2.67136
Pr-135,2.667,b-spectra,24,m,Non-Medical,2.667
Ho-168,2.66592,b-spectra,2.99,m,Non-Medical,2.66592
Cd-117m,2.6614,b-spectra,3.36,h,Non-Medical,2.6614
Cd-105,2.6604,gamma,55.5,m,Non-Medical,2.6604
Dy-149,2.65824,b-spectra,4.2,m,Non-Medical,2.65824
Os-181,2.647,gamma,105,m,Non-Medical,2.647
Cu-66,2.642,b-spectra,5.12,m,Non-Medical,2.642
Nb-89m,2.638,b-spectra,66,m,Non-Medical,2.638
Pr-147,2.63016,b-spectra,13.4,m,Non-Medical,2.63016
Ir-188,2.62245,gamma,41.5,h,Non-Medical,2.62245
Eu-148,2.62212,alpha,54.5,d,Non-Medical,2.62212
Mo-101,2.61648,b-spectra,14.61,m,Non-Medical,2.61648
Tl-208,2.61453,gamma,3.053,m,Non-Medical,2.61453
Hf-173,2.6131,gamma,23.6,h,Non-Medical,2.6131
Bi-208,2.61,gamma,368000,y,Non-Medical,2.61
Bi-205,2.6071,gamma,15.31,d,Non-Medical,2.6071
Cr-55,2.6031,b-spectra,3.497,m,Non-Medical,2.6031
Rh-109,2.591,b-spectra,80,s,Non-Medical,2.591
Sb-115,2.5898,gamma,32.1,m,Non-Medical,2.5898
Sb-128m,2.58285,b-spectra,10.4,m,Non-Medical,2.58285
Gd-151,2.58239,alpha,124,d,Non-Medical,2.58239
Xe-123,2.5803,gamma,2.08,h,Non-Medical,2.5803
Lu-181,2.57118,b-spectra,3.5,m,Non-Medical,2.57118
Pb-197,2.57,b-spectra,8,m,Non-Medical,2.57
Br-85,2.56512,b-spectra,2.9,m,Non-Medical,2.56512
Eu-145,2.5594,gamma,5.93,d,Non-Medical,2.5594
Lu-167,2.559,gamma,51.5,m,Non-Medical,2.559
Pb-202,2.54652,alpha,52500,y,Non-Medical,2.54652
Pr-137,2.51798,gamma,1.28,h,Non-Medical,2.51798
Se-73,2.51731,gamma,7.15,h,Non-Medical,2.51731
Tb-162,2.51,b-spectra,7.6,m,Non-Medical,2.51
Ge-77,2.50725,b-spectra,11.3,h,Non-Medical,2.50725
Co-60,2.50569,gamma,5.2713,y,Non-Medical,2.50569
Cs-130,2.5036,gamma,29.21,m,Non-Medical,2.5036
La-141,2.502,b-spectra,3.92,h,Non-Medical,2.502
Ar-41,2.49161,b-spectra,109.61,m,Non-Medical,2.49161
Zn-71m,2.4894,gamma,3.96,h,Non-Medical,2.4894
La-136,2.4854,gamma,9.87,m,Non-Medical,2.4854
Se-73m,2.48478,gamma,39.8,m,Non-Medical,2.48478
I-135,2.4771,gamma,6.57,h,Non-Medical,2.4771
Pm-148,2.468,b-spectra,5.368,d,Non-Medical,2.468
Ba-127,2.4678,gamma,12.7,m,Non-Medical,2.4678
Ce-145,2.46746,b-spectra,3.01,m,Non-Medical,2.46746
Sm-146,2.45967,alpha,103000000,y,Non-Medical,2.45967
Eu-156,2.451,b-spectra,15.19,d,Non-Medical,2.451
Au-194,2.4474,gamma,38.02,h,Non-Medical,2.4474
Ag-103,2.4465,gamma,65.7,m,Non-Medical,2.4465
Eu-159,2.44623,b-spectra,18.1,m,Non-Medical,2.44623
Nd-151,2.442,b-spectra,12.44,m,Non-Medical,2.442
Rh-104,2.441,b-spectra,42.3,s,Non-Medical,2.441
In-121,2.43942,b-spectra,23.1,s,Non-Medical,2.43942
Hf-174,2.43741,alpha,2.00E+15,y,Non-Medical,2.43741
V-53,2.42983,b-spectra,1.61,m,Non-Medical,2.42983
Er-159,2.429,gamma,36,m,Non-Medical,2.429
Al-29,2.42591,gamma,6.56,m,Non-Medical,2.42591
V-48,2.4218,gamma,15.9735,d,Non-Medical,2.4218
Te-131m,2.41525,b-spectra,30,h,Non-Medical,2.41525
Ru-95,2.4102,gamma,1.643,h,Non-Medical,2.4102
Yb-163,2.407,b-spectra,11.05,m,Non-Medical,2.407
Am-246m,2.406,b-spectra,25,m,Non-Medical,2.406
Te-114,2.4042,gamma,15.2,m,Non-Medical,2.4042
Bi-201,2.4032,gamma,108,m,Non-Medical,2.4032
I-134m,2.40219,b-spectra,3.6,m,Non-Medical,2.40219
Zr-89m,2.39852,b-spectra,4.161,m,Non-Medical,2.39852
Fr-227,2.38697,b-spectra,2.47,m,Non-Medical,2.38697
Tm-161,2.374,gamma,30.2,m,Non-Medical,2.374
Sn-125,2.363,b-spectra,9.64,d,Non-Medical,2.363
Sb-118m,2.361,gamma,5,h,Non-Medical,2.361
Te-119m,2.3604,gamma,4.7,d,Non-Medical,2.3604
Ir-183,2.33169,b-spectra,58,m,Non-Medical,2.33169
Sn-111,2.3233,gamma,35.3,m,Non-Medical,2.3233
Y-90m,2.31897,gamma,3.19,h,Non-Medical,2.31897
Ba-139,2.3168,b-spectra,83.06,m,Non-Medical,2.3168
Br-82,2.31608,b-spectra,35.3,h,Non-Medical,2.31608
Re-182m,2.316,gamma,12.7,h,Non-Medical,2.316
Mn-51,2.31252,gamma,46.2,m,Non-Medical,2.31252
Tl-200,2.2964,gamma,26.1,h,Non-Medical,2.2964
Er-173,2.29227,b-spectra,1.434,m,Non-Medical,2.29227
As-79,2.2809,b-spectra,9.01,m,Non-Medical,2.2809
Pb-197m,2.2807,b-spectra,43,m,Non-Medical,2.2807
Y-90,2.2801,b-spectra,64.1,h,Medical - Therapy,2.2801
Sb-129,2.2745,b-spectra,4.4,h,Non-Medical,2.2745
Tm-163,2.2745,gamma,1.81,h,Non-Medical,2.2745
Pa-234m,2.273,b-spectra,1.17,m,Non-Medical,2.273
La-131,2.27123,gamma,59,m,Non-Medical,2.27123
Lu-172,2.26502,gamma,6.7,d,Non-Medical,2.26502
Rh-102,2.2613,gamma,207,d,Non-Medical,2.2613
Pm-145,2.2579,alpha,17.7,y,Non-Medical,2.2579
Mn-52,2.25742,gamma,5.591,d,Non-Medical,2.25742
Pa-237,2.25,b-spectra,8.7,m,Non-Medical,2.25
Sm-147,2.24759,alpha,1.06E+11,y,Non-Medical,2.24759
Ir-194,2.2468,b-spectra,19.28,h,Non-Medical,2.2468
Ho-155,2.2413,gamma,48,m,Non-Medical,2.2413
Au-200,2.24,b-spectra,48.4,m,Non-Medical,2.24
Pr-138m,2.2364,gamma,2.12,h,Non-Medical,2.2364
Cr-49,2.2362,gamma,42.3,m,Non-Medical,2.2362
In-116m,2.2255,gamma,54.41,m,Non-Medical,2.2255
Ne-19,2.2164,b-spectra,17.22,s,Non-Medical,2.2164
Sm-143m,2.21299,b-spectra,66,s,Non-Medical,2.21299
Cd-117,2.2097,b-spectra,2.49,h,Non-Medical,2.2097
Np-240m,2.208,b-spectra,7.22,m,Non-Medical,2.208
Yb-165,2.2045,gamma,9.9,m,Non-Medical,2.2045
Br-84m,2.2034,b-spectra,6,m,Non-Medical,2.2034
Nd-139m,2.2012,gamma,5.5,h,Non-Medical,2.2012
As-74,2.1982,gamma,17.77,d,Non-Medical,2.1982
Lu-169,2.19149,gamma,34.06,h,Non-Medical,2.19149
Re-190,2.1655,gamma,3.1,m,Non-Medical,2.1655
Pr-142,2.1622,b-spectra,19.12,h,Non-Medical,2.1622
Mo-93m,2.1618,gamma,6.85,h,Non-Medical,2.1618
Co-60m,2.15877,gamma,10.467,m,Non-Medical,2.15877
Pd-111,2.15715,b-spectra,23.4,m,Non-Medical,2.15715
Ti-51,2.15342,b-spectra,5.76,m,Non-Medical,2.15342
Sr-83,2.14764,gamma,32.41,h,Non-Medical,2.14764
Gd-152,2.14655,alpha,1.08E+14,y,Non-Medical,2.14655
Tb-156,2.1384,gamma,5.35,d,Non-Medical,2.1384
Ni-65,2.1362,b-spectra,2.51719,h,Non-Medical,2.1362
I-119,2.13052,b-spectra,19.1,m,Non-Medical,2.13052
Kr-77,2.1291,gamma,74.4,m,Non-Medical,2.1291
Cu-61,2.124,gamma,3.333,h,Non-Medical,2.124
Re-188,2.1204,b-spectra,17.004,h,Medical - Therapy,2.1204
I-128,2.119,b-spectra,24.99,m,Non-Medical,2.119
Sn-125m,2.113,gamma,9.52,m,Non-Medical,2.113
Lu-178,2.0991,b-spectra,28.4,m,Non-Medical,2.0991
Dy-167,2.09066,b-spectra,6.2,m,Non-Medical,2.09066
Pr-139,2.09,gamma,4.41,h,Non-Medical,2.09
Ag-106m,2.084,gamma,8.28,d,Non-Medical,2.084
Te-131,2.08328,b-spectra,25,m,Non-Medical,2.08328
Pa-234,2.0722,gamma,6.7,h,Non-Medical,2.0722
Hg-191m,2.0698,b-spectra,50.8,m,Non-Medical,2.0698
Ac-228,2.06924,b-spectra,6.15,h,Non-Medical,2.06924
Rh-99,2.0592,gamma,16.1,d,Non-Medical,2.0592
Yb-179,2.0576,b-spectra,8,m,Non-Medical,2.0576
Ir-185,2.0497,gamma,14.4,h,Non-Medical,2.0497
Sb-128,2.04616,b-spectra,9.01,h,Non-Medical,2.04616
I-126,2.04509,gamma,12.93,d,Non-Medical,2.04509
Ge-69,2.0449,gamma,39.05,h,Non-Medical,2.0449
Fr-222,2.032,b-spectra,14.2,m,Non-Medical,2.032
Fe-62,2.0239,b-spectra,68,s,Non-Medical,2.0239
Sm-140,2.0175,gamma,14.82,m,Non-Medical,2.0175
Ag-113,2.016,b-spectra,5.37,h,Non-Medical,2.016
Hg-193,2.0146,gamma,3.8,h,Non-Medical,2.0146
Sc-46,2.01,gamma,83.79,d,Non-Medical,2.01
Br-75,2.008,b-spectra,96.7,m,Non-Medical,2.008
Ag-110m,2.0038,gamma,249.76,d,Non-Medical,2.0038
Br-80,2.001,b-spectra,17.68,m,Non-Medical,2.001
Y-85,1.99923,b-spectra,2.68,h,Non-Medical,1.99923
Ne-24,1.99779,b-spectra,3.38,m,Non-Medical,1.99779
Sc-49,1.994,b-spectra,57.2,m,Non-Medical,1.994
Ca-47,1.9919,b-spectra,4.536,d,Non-Medical,1.9919
In-114,1.9887,b-spectra,71.9,s,Non-Medical,1.9887
Gd-147,1.9867,gamma,38.1,h,Non-Medical,1.9867
Cs-132,1.98564,gamma,6.479,d,Non-Medical,1.98564
In-110,1.98277,gamma,4.9,h,Non-Medical,1.98277
Pt-187,1.981,b-spectra,2.35,h,Non-Medical,1.981
Sb-122,1.9786,b-spectra,2.7238,d,Non-Medical,1.9786
Cs-127,1.9734,gamma,6.25,h,Non-Medical,1.9734
As-71,1.96503,gamma,65.28,h,Non-Medical,1.96503
Hg-193m,1.9636,gamma,11.8,h,Non-Medical,1.9636
Eu-150m,1.963,gamma,12.8,h,Non-Medical,1.963
Ce-133,1.96074,b-spectra,97,m,Non-Medical,1.96074
Sn-108,1.9572,gamma,10.3,m,Non-Medical,1.9572
Tc-96m,1.9571,gamma,51.5,m,Non-Medical,1.9571
Cd-102,1.956,gamma,5.5,m,Non-Medical,1.956
Ba-142,1.9557,b-spectra,10.6,m,Non-Medical,1.9557
Dy-155,1.95476,gamma,9.9,h,Non-Medical,1.95476
Ba-129,1.9536,gamma,2.23,h,Non-Medical,1.9536
Os-183m,1.94813,gamma,9.9,h,Non-Medical,1.94813
Tl-209,1.94378,b-spectra,2.161,m,Medical - Daughter of Ac-225,1.94378
Sr-92,1.94,b-spectra,2.66,h,Non-Medical,1.94
Kr-74,1.93816,b-spectra,11.5,m,Non-Medical,1.93816
Np-232,1.936,gamma,14.7,m,Non-Medical,1.936
Sm-148,1.93229,alpha,7.00E+15,y,Non-Medical,1.93229
Sc-43,1.9307,gamma,3.891,h,Non-Medical,1.9307
Th-235,1.92,b-spectra,7.1,m,Non-Medical,1.92
Ru-105,1.916,b-spectra,4.44,h,Non-Medical,1.916
Os-183,1.91554,gamma,13,h,Non-Medical,1.91554
Sb-126m,1.9152,b-spectra,19.15,m,Non-Medical,1.9152
Zr-97,1.91495,b-spectra,16.744,h,Non-Medical,1.91495
Bi-215,1.9109,b-spectra,7.6,m,Non-Medical,1.9109
C-10,1.91068,b-spectra,19.255,s,Non-Medical,1.91068
Rb-81m,1.9026,gamma,30.5,m,Non-Medical,1.9026
Rb-84,1.89775,gamma,32.77,d,Non-Medical,1.89775
Sb-126,1.8969,b-spectra,12.35,d,Non-Medical,1.8969
Eu-154,1.895,gamma,8.593,y,Non-Medical,1.895
Np-240,1.89369,b-spectra,61.9,m,Non-Medical,1.89369
Ta-175,1.8918,gamma,10.5,h,Non-Medical,1.8918
I-121,1.8916,gamma,2.12,h,Non-Medical,1.8916
Ba-129m,1.8907,gamma,2.16,h,Non-Medical,1.8907
Rn-223,1.88712,b-spectra,24.3,m,Non-Medical,1.88712
La-133,1.8867,gamma,3.912,h,Non-Medical,1.8867
Pr-144m,1.8853,gamma,7.2,m,Non-Medical,1.8853
Tm-175,1.8853,b-spectra,15.2,m,Non-Medical,1.8853
Pm-153,1.881,b-spectra,5.25,m,Non-Medical,1.881
Tm-172,1.88,b-spectra,63.6,h,Non-Medical,1.88
Ac-231,1.87862,b-spectra,7.5,m,Non-Medical,1.87862
Te-119,1.8753,gamma,16.05,h,Non-Medical,1.8753
Rb-81,1.874,gamma,4.576,h,Non-Medical,1.874
Er-161,1.8678,gamma,3.21,h,Non-Medical,1.8678
Eu-152m,1.8644,b-spectra,9.3116,h,Non-Medical,1.8644
In-109,1.8606,gamma,4.2,h,Non-Medical,1.8606
Nd-141m,1.8554,gamma,62,s,Non-Medical,1.8554
Ho-166,1.8539,b-spectra,26.8,h,Medical - Therapy,1.8539
Nd-144,1.85224,alpha,2.29E+15,y,Non-Medical,1.85224
Ce-135,1.85,gamma,17.7,h,Non-Medical,1.85
Se-84,1.848,b-spectra,3.1,m,Non-Medical,1.848
Nb-92m,1.8475,gamma,10.15,d,Non-Medical,1.8475
Rh-106m,1.8406,gamma,131,m,Non-Medical,1.8406
Dy-148,1.8401,gamma,3.3,m,Non-Medical,1.8401
Hf-169,1.8351,b-spectra,3.24,m,Non-Medical,1.8351
Ti-52,1.83439,b-spectra,1.7,m,Non-Medical,1.83439
Eu-150,1.8333,gamma,36.9,y,Non-Medical,1.8333
Rh-100m,1.8275,gamma,4.6,m,Non-Medical,1.8275
Na-22,1.8202,b-spectra,2.6019,y,Non-Medical,1.8202
Ta-185,1.81809,b-spectra,49.4,m,Non-Medical,1.81809
Pt-189,1.8155,gamma,10.87,h,Non-Medical,1.8155
K-43,1.815,b-spectra,22.3,h,Non-Medical,1.815
Pb-201,1.8131,gamma,9.33,h,Non-Medical,1.8131
Re-179,1.80888,gamma,19.5,m,Non-Medical,1.80888
Yb-167,1.8078,gamma,17.5,m,Non-Medical,1.8078
Ho-162,1.806,gamma,15,m,Non-Medical,1.806
Ho-162m,1.806,gamma,67,m,Non-Medical,1.806
Pr-145,1.805,b-spectra,5.984,h,Non-Medical,1.805
Ti-45,1.801,gamma,184.8,m,Non-Medical,1.801
Pt-202,1.8,b-spectra,44,h,Non-Medical,1.8
Rh-104m,1.7932,gamma,4.34,m,Non-Medical,1.7932
Nd-139,1.789,b-spectra,29.7,m,Non-Medical,1.789
Ho-157,1.7886,gamma,12.6,m,Non-Medical,1.7886
Hf-183,1.78431,gamma,1.067,h,Non-Medical,1.78431
Bk-250,1.78,b-spectra,3.212,h,Non-Medical,1.78
Rb-86,1.7742,b-spectra,18.642,d,Non-Medical,1.7742
Ta-178,1.771,IE,9.31,m,Non-Medical,1.771
In-117m,1.7703,b-spectra,116.2,m,Non-Medical,1.7703
Bi-207,1.77023,gamma,32.9,y,Non-Medical,1.77023
Ge-66,1.7695,gamma,2.26,h,Non-Medical,1.7695
Eu-152,1.76909,gamma,13.537,y,Non-Medical,1.76909
Mg-27,1.76684,b-spectra,9.458,m,Non-Medical,1.76684
Tc-94,1.7656,gamma,293,m,Non-Medical,1.7656
La-132m,1.75648,b-spectra,24.3,m,Non-Medical,1.75648
Tb-160,1.74851,b-spectra,72.3,d,Non-Medical,1.74851
Zr-89,1.7445,gamma,78.41,h,Medical - Imaging,1.7445
Ag-113m,1.74441,b-spectra,68.7,s,Non-Medical,1.74441
I-130,1.74439,b-spectra,12.36,h,Non-Medical,1.74439
F-17,1.7388,b-spectra,64.49,s,Non-Medical,1.7388
Np-234,1.738,gamma,4.4,d,Non-Medical,1.738
Nd-134,1.7324,b-spectra,8.5,m,Non-Medical,1.7324
O-15,1.732,b-spectra,122.24,s,Medical - Imaging,1.732
Pd-101,1.7296,gamma,8.47,h,Non-Medical,1.7296
Fe-52,1.72757,gamma,8.275,h,Non-Medical,1.72757
Tb-152m,1.72304,b-spectra,4.2,m,Non-Medical,1.72304
Ta-182,1.71349,b-spectra,114.43,d,Non-Medical,1.71349
P-32,1.71066,b-spectra,14.263,d,Medical - Therapy,1.71066
Ba-124,1.708,gamma,11,m,Non-Medical,1.708
Pt-199,1.702,b-spectra,30.8,m,Non-Medical,1.702
Es-256,1.7,b-spectra,25.4,m,Non-Medical,1.7
Tl-197,1.69367,gamma,2.84,h,Non-Medical,1.69367
Xe-135m,1.69155,b-spectra,15.29,m,Non-Medical,1.69155
In-112,1.6835,gamma,14.97,m,Non-Medical,1.6835
Tc-95,1.683,gamma,20,h,Non-Medical,1.683
Co-58,1.67473,gamma,70.86,d,Non-Medical,1.67473
Sb-124m,1.66682,b-spectra,93,s,Non-Medical,1.66682
Tc-95m,1.66027,gamma,61,d,Non-Medical,1.66027
Sb-120,1.659,b-spectra,15.89,m,Non-Medical,1.659
Es-250m,1.6581,gamma,2.22,h,Non-Medical,1.6581
Nd-141,1.65704,gamma,2.49,h,Non-Medical,1.65704
Ga-70,1.656,b-spectra,21.14,m,Non-Medical,1.656
Sn-106,1.6521,b-spectra,1.92,m,Non-Medical,1.6521
Ag-108,1.649,b-spectra,2.37,m,Non-Medical,1.649
Tm-174,1.6315,gamma,5.4,m,Non-Medical,1.6315
Re-182,1.6314,gamma,64,h,Non-Medical,1.6314
Nb-97,1.62909,gamma,72.1,m,Non-Medical,1.62909
Sm-155,1.6271,b-spectra,22.3,m,Non-Medical,1.6271
Cd-115m,1.627,b-spectra,44.6,d,Non-Medical,1.627
Nb-96,1.6259,gamma,23.35,h,Non-Medical,1.6259
Tc-96,1.6257,gamma,4.28,d,Non-Medical,1.6257
Pd-96,1.6256,gamma,122,s,Non-Medical,1.6256
Am-247,1.62,b-spectra,23,m,Non-Medical,1.62
Mg-28,1.62,gamma,20.915,h,Non-Medical,1.62
Se-70,1.6188,gamma,41.1,m,Non-Medical,1.6188
Np-242m,1.6079,b-spectra,5.5,m,Non-Medical,1.6079
Ho-160,1.6064,gamma,25.6,m,Non-Medical,1.6064
Te-129m,1.6034,b-spectra,33.6,d,Non-Medical,1.6034
I-133,1.58994,gamma,20.8,h,Non-Medical,1.58994
Se-81,1.585,b-spectra,18.45,m,Non-Medical,1.585
Sb-117,1.578,gamma,2.8,h,Non-Medical,1.578
In-119,1.57699,b-spectra,2.4,m,Non-Medical,1.57699
Nd-149,1.57669,b-spectra,1.728,h,Non-Medical,1.57669
Kr-79,1.5737,gamma,35.04,h,Non-Medical,1.5737
Tm-168,1.5695,gamma,93.1,d,Non-Medical,1.5695
Fe-59,1.5652,b-spectra,44.495,d,Non-Medical,1.5652
Ho-166m,1.56257,gamma,1200,y,Non-Medical,1.56257
Xe-125,1.5624,gamma,16.9,h,Non-Medical,1.5624
Ni-56,1.5618,gamma,6.075,d,Non-Medical,1.5618
Ho-159,1.5556,gamma,33.05,m,Non-Medical,1.5556
V-50,1.55377,gamma,1.50E+17,y,Non-Medical,1.55377
Cs-136,1.5513,gamma,13.16,d,Non-Medical,1.5513
Y-91,1.5448,b-spectra,58.51,d,Non-Medical,1.5448
Re-181,1.538,gamma,19.9,h,Non-Medical,1.538
Tb-150m,1.5366,b-spectra,5.8,m,Non-Medical,1.5366
Tl-206,1.5335,b-spectra,4.2,m,Non-Medical,1.5335
Hg-205,1.533,b-spectra,5.2,m,Non-Medical,1.533
Bi-212n,1.5301,b-spectra,7,m,Non-Medical,1.5301
Ga-73,1.52626,b-spectra,4.86,h,Non-Medical,1.52626
Zn-62,1.5259,gamma,9.186,h,Non-Medical,1.5259
Ir-192m,1.51644,b-spectra,1.45,m,Non-Medical,1.51644
Am-244m,1.5159,b-spectra,26,m,Non-Medical,1.5159
Rh-107,1.511,b-spectra,21.7,m,Non-Medical,1.511
Pm-144,1.5106,gamma,363,d,Non-Medical,1.5106
Cr-56,1.507,b-spectra,5.94,m,Non-Medical,1.507
Sb-116m,1.50103,gamma,60.3,m,Non-Medical,1.50103
Rh-99m,1.4995,gamma,4.7,h,Non-Medical,1.4995
Tb-153,1.496,gamma,2.34,d,Non-Medical,1.496
Sr-89,1.4951,b-spectra,50.53,d,Medical - Therapy,1.4951
Ir-190,1.4949,gamma,11.78,d,Non-Medical,1.4949
Sb-127,1.49274,b-spectra,3.85,d,Non-Medical,1.49274
Er-171,1.4907,b-spectra,7.516,h,Non-Medical,1.4907
Si-31,1.4905,b-spectra,157.3,m,Non-Medical,1.4905
Nd-136,1.489,gamma,50.65,m,Non-Medical,1.489
I-132m,1.4849,b-spectra,1.387,h,Non-Medical,1.4849
Ir-196m,1.4825,gamma,1.4,h,Non-Medical,1.4825
Mo-90,1.4816,gamma,5.56,h,Non-Medical,1.4816
Y-86m,1.4808,b-spectra,48,m,Non-Medical,1.4808
Te-129,1.4701,b-spectra,69.6,m,Non-Medical,1.4701
Ce-143,1.4614,b-spectra,33.039,h,Non-Medical,1.4614
K-40,1.46082,gamma,1251000000,y,Non-Medical,1.46082
Cs-134,1.45378,b-spectra,2.0648,y,Non-Medical,1.45378
Pd-114,1.451,b-spectra,2.42,m,Non-Medical,1.451
Au-196,1.4463,gamma,6.183,d,Non-Medical,1.4463
Sn-130,1.44568,b-spectra,3.72,m,Non-Medical,1.44568
Hg-195,1.4432,gamma,10.53,h,Non-Medical,1.4432
Ta-184,1.44107,b-spectra,8.7,h,Non-Medical,1.44107
La-138,1.4358,gamma,1.02E+11,y,Non-Medical,1.4358
Ce-130,1.4313,gamma,22.9,m,Non-Medical,1.4313
Re-184,1.43096,gamma,38,d,Non-Medical,1.43096
Tm-165,1.4274,gamma,30.06,h,Non-Medical,1.4274
